raw_text,station_id,issue_time,bulletin_time,valid_time_from,valid_time_to,remarks,latitude,longitude,elevation_m,fcst_time_from_1,fcst_time_to_1,change_indicator_1,time_becoming,probability_1,wind_dir_degrees_1,wind_speed_kt_1,wind_gust_kt_1,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_1,altim_in_hg,vert_vis_ft,wx_string_1,not_decoded,sky_cover_1,cloud_base_ft_agl_1,cloud_type_1,sky_cover_2,cloud_base_ft_agl_2,cloud_type_2,sky_cover_3,cloud_base_ft_agl_3,cloud_type_3,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_2,fcst_time_to_2,change_indicator_2,time_becoming,probability_2,wind_dir_degrees_2,wind_speed_kt_2,wind_gust_kt_2,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_2,altim_in_hg,vert_vis_ft,wx_string_2,not_decoded,sky_cover_4,cloud_base_ft_agl_4,cloud_type_4,sky_cover_5,cloud_base_ft_agl_5,cloud_type_5,sky_cover_6,cloud_base_ft_agl_6,cloud_type_6,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_3,fcst_time_to_3,change_indicator_3,time_becoming,probability_3,wind_dir_degrees_3,wind_speed_kt_3,wind_gust_kt_3,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_3,altim_in_hg,vert_vis_ft,wx_string_3,not_decoded,sky_cover_7,cloud_base_ft_agl_7,cloud_type_7,sky_cover_8,cloud_base_ft_agl_8,cloud_type_8,sky_cover_9,cloud_base_ft_agl_9,cloud_type_9,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_4,fcst_time_to_4,change_indicator_4,time_becoming,probability_4,wind_dir_degrees_4,wind_speed_kt_4,wind_gust_kt_4,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_4,altim_in_hg,vert_vis_ft,wx_string_4,not_decoded,sky_cover_10,cloud_base_ft_agl_10,cloud_type_10,sky_cover_11,cloud_base_ft_agl_11,cloud_type_11,sky_cover_12,cloud_base_ft_agl_12,cloud_type_12,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_5,fcst_time_to_5,change_indicator_5,time_becoming,probability_5,wind_dir_degrees_5,wind_speed_kt_5,wind_gust_kt_5,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_5,altim_in_hg,vert_vis_ft,wx_string_5,not_decoded,sky_cover_13,cloud_base_ft_agl_13,cloud_type_13,sky_cover_14,cloud_base_ft_agl_14,cloud_type_14,sky_cover_15,cloud_base_ft_agl_15,cloud_type_15,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_6,fcst_time_to_6,change_indicator_6,time_becoming,probability_6,wind_dir_degrees_6,wind_speed_kt_6,wind_gust_kt_6,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_6,altim_in_hg,vert_vis_ft,wx_string_6,not_decoded,sky_cover_16,cloud_base_ft_agl_16,cloud_type_16,sky_cover_17,cloud_base_ft_agl_17,cloud_type_17,sky_cover_18,cloud_base_ft_agl_18,cloud_type_18,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_7,fcst_time_to_7,change_indicator_7,time_becoming,probability_7,wind_dir_degrees_7,wind_speed_kt_7,wind_gust_kt_7,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_7,altim_in_hg,vert_vis_ft,wx_string_7,not_decoded,sky_cover_19,cloud_base_ft_agl_19,cloud_type_19,sky_cover_20,cloud_base_ft_agl_20,cloud_type_20,sky_cover_21,cloud_base_ft_agl_21,cloud_type_21,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_8,fcst_time_to_8,change_indicator_8,time_becoming,probability_8,wind_dir_degrees_8,wind_speed_kt_8,wind_gust_kt_8,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_8,altim_in_hg,vert_vis_ft,wx_string_8,not_decoded,sky_cover_22,cloud_base_ft_agl_22,cloud_type_22,sky_cover_23,cloud_base_ft_agl_23,cloud_type_23,sky_cover_24,cloud_base_ft_agl_24,cloud_type_24,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c
KELY 050520Z 0506/0606 18011KT P6SM SKC FM051500 20010G20KT P6SM SKC FM060200 20010KT P6SM SKC AMD NOT SKED,KELY,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,39.2954,-114.847,1906,2025-07-05T06:00:00Z,2025-07-05T15:00:00Z,,,,180,11,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T15:00:00Z,2025-07-06T02:00:00Z,FM,,,200,10,20,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-06T02:00:00Z,2025-07-06T06:00:00Z,FM,,,200,10,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTM 050520Z 0506/0606 17009KT P6SM SCT250 FM051400 21011G20KT P6SM SCT040 BKN060 PROB30 0517/0520 6SM -SHRA BKN035 FM052000 22013G22KT P6SM SCT035 BKN050 PROB30 0603/0605 5SM -TSRA BKN025CB AMD NOT SKED,KOTM,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,41.1008,-92.4445,254,2025-07-05T06:00:00Z,2025-07-05T14:00:00Z,,,,170,9,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-05T20:00:00Z,FM,,,210,11,20,,,,6+,,,,,SCT,4000,,BKN,6000,,,,,,,,,,,,,,,,,2025-07-05T17:00:00Z,2025-07-05T20:00:00Z,PROB,,30,,,,,,,6,,,-SHRA,,BKN,3500,,,,,,,,,,,,,,,,,,,,2025-07-05T20:00:00Z,2025-07-06T06:00:00Z,FM,,,220,13,22,,,,6+,,,,,SCT,3500,,BKN,5000,,,,,,,,,,,,,,,,,2025-07-06T03:00:00Z,2025-07-06T05:00:00Z,PROB,,30,,,,,,,5,,,-TSRA,,BKN,2500,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSDL 050520Z 0506/0606 VRB04KT P6SM SCT250 FM051900 23007KT P6SM FEW100 FEW250 FM060400 VRB04KT P6SM SCT250,KSDL,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,33.6124,-111.923,438,2025-07-05T06:00:00Z,2025-07-05T19:00:00Z,,,,VRB,4,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T19:00:00Z,2025-07-06T04:00:00Z,FM,,,230,7,,,,,6+,,,,,FEW,10000,,FEW,25000,,,,,,,,,,,,,,,,,2025-07-06T04:00:00Z,2025-07-06T06:00:00Z,FM,,,VRB,4,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPAE 050520Z 0506/0606 35009KT P6SM BKN070 FM051100 18004KT P6SM SCT025 BKN060 FM051300 VRB03KT P6SM BKN025 FM051700 27005KT P6SM SCT050 SCT100 FM052100 30006KT P6SM SCT250 FM060200 34005KT P6SM SCT250,KPAE,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,47.9232,-122.283,166,2025-07-05T06:00:00Z,2025-07-05T11:00:00Z,,,,350,9,,,,,6+,,,,,BKN,7000,,,,,,,,,,,,,,,,,,,,2025-07-05T11:00:00Z,2025-07-05T13:00:00Z,FM,,,180,4,,,,,6+,,,,,SCT,2500,,BKN,6000,,,,,,,,,,,,,,,,,2025-07-05T13:00:00Z,2025-07-05T17:00:00Z,FM,,,VRB,3,,,,,6+,,,,,BKN,2500,,,,,,,,,,,,,,,,,,,,2025-07-05T17:00:00Z,2025-07-05T21:00:00Z,FM,,,270,5,,,,,6+,,,,,SCT,5000,,SCT,10000,,,,,,,,,,,,,,,,,2025-07-05T21:00:00Z,2025-07-06T02:00:00Z,FM,,,300,6,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,2025-07-06T02:00:00Z,2025-07-06T06:00:00Z,FM,,,340,5,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBLI 050520Z 0506/0606 20012KT P6SM BKN200 FM051100 17013G21KT P6SM FEW250 FM051400 17013G21KT P6SM BKN050 FM051800 18014G22KT P6SM BKN100 FM060000 19010KT P6SM BKN200 FM060400 18006KT P6SM SCT250,KBLI,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,48.7991,-122.541,46,2025-07-05T06:00:00Z,2025-07-05T11:00:00Z,,,,200,12,,,,,6+,,,,,BKN,20000,,,,,,,,,,,,,,,,,,,,2025-07-05T11:00:00Z,2025-07-05T14:00:00Z,FM,,,170,13,21,,,,6+,,,,,FEW,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-05T18:00:00Z,FM,,,170,13,21,,,,6+,,,,,BKN,5000,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T00:00:00Z,FM,,,180,14,22,,,,6+,,,,,BKN,10000,,,,,,,,,,,,,,,,,,,,2025-07-06T00:00:00Z,2025-07-06T04:00:00Z,FM,,,190,10,,,,,6+,,,,,BKN,20000,,,,,,,,,,,,,,,,,,,,2025-07-06T04:00:00Z,2025-07-06T06:00:00Z,FM,,,180,6,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJPS 050520Z 0506/0606 10011KT P6SM SKC FM051300 14015G25KT 6SM HZ FEW030 SCT060 FM052300 10008KT 6SM HZ VCSH FEW060,TJPS,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,18.011,-66.567,12,2025-07-05T06:00:00Z,2025-07-05T13:00:00Z,,,,100,11,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T13:00:00Z,2025-07-05T23:00:00Z,FM,,,140,15,25,,,,6,,,HZ,,FEW,3000,,SCT,6000,,,,,,,,,,,,,,,,,2025-07-05T23:00:00Z,2025-07-06T06:00:00Z,FM,,,100,8,,,,,6,,,HZ VCSH,,FEW,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGSO 050520Z 0506/0606 04005KT P6SM SCT070 SCT250,KGSO,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,36.0969,-79.9432,275,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,,,40,5,,,,,6+,,,,,SCT,7000,,SCT,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTPH 050520Z 0506/0606 35008KT P6SM SKC FM051900 19011KT P6SM SKC,KTPH,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,38.0505,-117.091,1647,2025-07-05T06:00:00Z,2025-07-05T19:00:00Z,,,,350,8,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T19:00:00Z,2025-07-06T06:00:00Z,FM,,,190,11,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDVT 050520Z 0506/0606 23005KT P6SM SCT250 FM050800 VRB04KT P6SM SCT250 FM051800 23008KT P6SM FEW100 FEW250,KDVT,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,33.6902,-112.066,454,2025-07-05T06:00:00Z,2025-07-05T08:00:00Z,,,,230,5,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T08:00:00Z,2025-07-05T18:00:00Z,FM,,,VRB,4,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T06:00:00Z,FM,,,230,8,,,,,6+,,,,,FEW,10000,,FEW,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRDU 050520Z 0506/0606 06005KT P6SM SCT250 FM051400 06009G15KT P6SM SCT050 BKN250 PROB30 0521/0601 VRB15G25KT TS SCT050CB FM060100 08006KT P6SM SCT050 BKN250,KRDU,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,35.8923,-78.782,121,2025-07-05T06:00:00Z,2025-07-05T14:00:00Z,,,,60,5,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-06T01:00:00Z,FM,,,60,9,15,,,,6+,,,,,SCT,5000,,BKN,25000,,,,,,,,,,,,,,,,,2025-07-05T21:00:00Z,2025-07-06T01:00:00Z,PROB,,30,VRB,15,25,,,,,,,TS,,SCT,5000,CB,,,,,,,,,,,,,,,,,,,2025-07-06T01:00:00Z,2025-07-06T06:00:00Z,FM,,,80,6,,,,,6+,,,,,SCT,5000,,BKN,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLAR 050520Z 0506/0606 32008KT P6SM VCSH BKN070 FM050800 24010KT P6SM SCT070 FM051500 28010KT P6SM SCT090 FM052000 20012KT P6SM BKN090 FM060000 16013KT P6SM SCT090,KLAR,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,41.3165,-105.673,2217,2025-07-05T06:00:00Z,2025-07-05T08:00:00Z,,,,320,8,,,,,6+,,,VCSH,,BKN,7000,,,,,,,,,,,,,,,,,,,,2025-07-05T08:00:00Z,2025-07-05T15:00:00Z,FM,,,240,10,,,,,6+,,,,,SCT,7000,,,,,,,,,,,,,,,,,,,,2025-07-05T15:00:00Z,2025-07-05T20:00:00Z,FM,,,280,10,,,,,6+,,,,,SCT,9000,,,,,,,,,,,,,,,,,,,,2025-07-05T20:00:00Z,2025-07-06T00:00:00Z,FM,,,200,12,,,,,6+,,,,,BKN,9000,,,,,,,,,,,,,,,,,,,,2025-07-06T00:00:00Z,2025-07-06T06:00:00Z,FM,,,160,13,,,,,6+,,,,,SCT,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCLM 050520Z 0506/0606 28012KT P6SM SCT200 FM051000 29010KT P6SM OVC014 FM051700 31009KT P6SM BKN025 FM051800 30008KT P6SM BKN100 FM052200 30012G19KT P6SM SCT200 FM060300 28009KT P6SM SCT250,KCLM,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,48.1219,-123.507,81,2025-07-05T06:00:00Z,2025-07-05T10:00:00Z,,,,280,12,,,,,6+,,,,,SCT,20000,,,,,,,,,,,,,,,,,,,,2025-07-05T10:00:00Z,2025-07-05T17:00:00Z,FM,,,290,10,,,,,6+,,,,,OVC,1400,,,,,,,,,,,,,,,,,,,,2025-07-05T17:00:00Z,2025-07-05T18:00:00Z,FM,,,310,9,,,,,6+,,,,,BKN,2500,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-05T22:00:00Z,FM,,,300,8,,,,,6+,,,,,BKN,10000,,,,,,,,,,,,,,,,,,,,2025-07-05T22:00:00Z,2025-07-06T03:00:00Z,FM,,,300,12,19,,,,6+,,,,,SCT,20000,,,,,,,,,,,,,,,,,,,,2025-07-06T03:00:00Z,2025-07-06T06:00:00Z,FM,,,280,9,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIPL 050520Z 0506/0606 23007KT P6SM SKC FM050900 14006KT P6SM SKC FM060300 24008KT P6SM FEW250,KIPL,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,32.8346,-115.577,-16,2025-07-05T06:00:00Z,2025-07-05T09:00:00Z,,,,230,7,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-06T03:00:00Z,FM,,,140,6,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-06T03:00:00Z,2025-07-06T06:00:00Z,FM,,,240,8,,,,,6+,,,,,FEW,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENV 050520Z 0506/0606 32008KT P6SM SCT120 FM051200 VRB06KT P6SM SKC FM051800 12009KT P6SM SCT120 FM060200 01011KT P6SM SKC,KENV,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,40.7211,-114.031,1291,2025-07-05T06:00:00Z,2025-07-05T12:00:00Z,,,,320,8,,,,,6+,,,,,SCT,12000,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T18:00:00Z,FM,,,VRB,6,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T02:00:00Z,FM,,,120,9,,,,,6+,,,,,SCT,12000,,,,,,,,,,,,,,,,,,,,2025-07-06T02:00:00Z,2025-07-06T06:00:00Z,FM,,,10,11,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSJC 050520Z 0506/0606 33007KT P6SM SKC FM051200 VRB04KT P6SM SKC FM051800 34014KT P6SM SKC FM060300 33007KT P6SM SKC,KSJC,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,37.3594,-121.924,13,2025-07-05T06:00:00Z,2025-07-05T12:00:00Z,,,,330,7,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T18:00:00Z,FM,,,VRB,4,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T03:00:00Z,FM,,,340,14,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-06T03:00:00Z,2025-07-06T06:00:00Z,FM,,,330,7,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLM 050520Z 0506/0606 22008KT P6SM SCT070 SCT200 FM051100 21006KT P6SM BKN015 FM051700 22005KT P6SM SCT025 FM052100 31005KT P6SM SCT100,KOLM,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,46.9737,-122.905,58,2025-07-05T06:00:00Z,2025-07-05T11:00:00Z,,,,220,8,,,,,6+,,,,,SCT,7000,,SCT,20000,,,,,,,,,,,,,,,,,2025-07-05T11:00:00Z,2025-07-05T17:00:00Z,FM,,,210,6,,,,,6+,,,,,BKN,1500,,,,,,,,,,,,,,,,,,,,2025-07-05T17:00:00Z,2025-07-05T21:00:00Z,FM,,,220,5,,,,,6+,,,,,SCT,2500,,,,,,,,,,,,,,,,,,,,2025-07-05T21:00:00Z,2025-07-06T06:00:00Z,FM,,,310,5,,,,,6+,,,,,SCT,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWWR 050520Z 0506/0606 17010KT P6SM BKN100 PROB30 0506/0509 4SM -TSRA BKN030CB FM050900 18006KT P6SM OVC020 FM051600 15004KT P6SM BKN030 FM052200 14007KT P6SM SCT040 FM060200 14007KT P6SM SCT120 BKN250,KWWR,2025-07-05T05:20:00Z,2025-07-05T05:20:00Z,2025-07-05T06:00:00Z,2025-07-06T06:00:00Z,,36.4374,-99.5234,664,2025-07-05T06:00:00Z,2025-07-05T09:00:00Z,,,,170,10,,,,,6+,,,,,BKN,10000,,,,,,,,,,,,,,,,,,,,2025-07-05T06:00:00Z,2025-07-05T09:00:00Z,PROB,,30,,,,,,,4,,,-TSRA,,BKN,3000,CB,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T16:00:00Z,FM,,,180,6,,,,,6+,,,,,OVC,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T16:00:00Z,2025-07-05T22:00:00Z,FM,,,150,4,,,,,6+,,,,,BKN,3000,,,,,,,,,,,,,,,,,,,,2025-07-05T22:00:00Z,2025-07-06T02:00:00Z,FM,,,140,7,,,,,6+,,,,,SCT,4000,,,,,,,,,,,,,,,,,,,,2025-07-06T02:00:00Z,2025-07-06T06:00:00Z,FM,,,140,7,,,,,6+,,,,,SCT,12000,,BKN,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
