raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover_1,cloud_base_ft_agl_1,sky_cover_2,cloud_base_ft_agl_2,sky_cover_3,cloud_base_ft_agl_3,sky_cover_4,cloud_base_ft_agl_4,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
SULS 051100Z VRB01KT CAVOK 06/05 Q1026,SULS,2025-07-05T11:00:00Z,-34.855,-55.094,6,5,VRB,1,,6+,30.30,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,22
SUCA 051100Z 14002KT 3000 BR NSC 09/09 Q1025,SUCA,2025-07-05T11:00:00Z,-34.452,-57.768,9,9,140,2,,1.86,30.27,,,,,,,,,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,26
SUAA 051100Z 12003KT 8000 NSC 08/07 Q1026,SUAA,2025-07-05T11:00:00Z,-34.788,-56.263,8,7,120,3,,4.97,30.30,,,,,,,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,48
SPJC 051100Z 16009KT 7000 SCT006 OVC013 17/16 Q1016 TEMPO BKN008 RMK PPTRZ,SPJC,2025-07-05T11:00:00Z,-12.024,-77.113,17,16,160,9,,4.35,30.00,,,,,,,,,,,SCT,600,OVC,1300,,,,,MVFR,,,,,,,,,,,,METAR,26
SLVR 051100Z VRB02KT 7000 NSC 10/09 Q1020,SLVR,2025-07-05T11:00:00Z,-17.645,-63.135,10,9,VRB,2,,4.35,30.12,,,,,,,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,377
SLLP 051100Z 00000KT 9999 NSC M08/M20 Q1041,SLLP,2025-07-05T11:00:00Z,-16.511,-68.182,-8,-20,0,0,,6+,30.74,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,4061
SLCB 051100Z 00000KT 5000 FU NSC 02/M04 Q1032,SLCB,2025-07-05T11:00:00Z,-17.421,-66.179,2,-4,0,0,,3.11,30.47,,,,,,,,,,FU,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,2560
SGES 051100Z 12002KT 9999 BCFG NSC 09/08 Q1024,SGES,2025-07-05T11:00:00Z,-25.461,-54.849,9,8,120,2,,6+,30.24,,,,,,,,,,BCFG,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,256
SGEN 051100Z 14006KT CAVOK 10/09 Q1025,SGEN,2025-07-05T11:00:00Z,-27.221,-55.834,10,9,140,6,,6+,30.27,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,202
SGCO 051100Z 13002KT CAVOK 10/08 Q1022,SGCO,2025-07-05T11:00:00Z,-23.438,-57.43,10,8,130,2,,6+,30.18,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,74
SGAS 051100Z 00000KT CAVOK 09/09 Q1023,SGAS,2025-07-05T11:00:00Z,-25.248,-57.519,9,9,0,0,,6+,30.21,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,83
SESA 051100Z 21010KT 9999 SCT007 BKN013 24/22 Q1015 RMK A2997,SESA,2025-07-05T11:00:00Z,-2.205,-80.989,24,22,210,10,,6+,29.97,,,,,,,,,,,SCT,700,BKN,1300,,,,,MVFR,,,,,,,,,,,,METAR,6
SEMT 051100Z 19007KT 9999 BKN020 23/21 Q1013 RMK A2992,SEMT,2025-07-05T11:00:00Z,-0.946,-80.679,23,21,190,7,,6+,29.91,,,,,,,,,,,BKN,2000,,,,,,,MVFR,,,,,,,,,,,,SPECI,13
SCEL 051100Z 15014KT 3000 BR BKN006 OVC009 09/08 Q1018 NOSIG,SCEL,2025-07-05T11:00:00Z,-33.393,-70.786,9,8,150,14,,1.86,30.06,,,,,,TRUE,,,,BR,BKN,600,OVC,900,,,,,IFR,,,,,,,,,,,,METAR,478
SCBA 051100Z 12008KT 9999 FEW030 BKN035 M00/M02 Q1019,SCBA,2025-07-05T11:00:00Z,-45.913,-71.694,0,-2,120,8,,6+,30.09,,,,,,,,,,,FEW,3000,BKN,3500,,,,,VFR,,,,,,,,,,,,METAR,516
SBVT 051100Z 28003KT 9999 BKN030 18/14 Q1025,SBVT,2025-07-05T11:00:00Z,-20.258,-40.286,18,14,280,3,,6+,30.27,,,,,,,,,,,BKN,3000,,,,,,,MVFR,,,,,,,,,,,,METAR,4
SBUY 051100Z 00000KT CAVOK 20/20 Q1016,SBUY,2025-07-05T11:00:00Z,-4.884,-65.354,20,20,0,0,,6+,30.00,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,44
SBTT 051100Z 27003KT 200V360 CAVOK 22/20 Q1018,SBTT,2025-07-05T11:00:00Z,-4.254,-69.939,22,20,270,3,,6+,30.06,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,79
SBTE 051100Z 00000KT CAVOK 26/20 Q1017,SBTE,2025-07-05T11:00:00Z,-5.06,-42.824,26,20,0,0,,6+,30.03,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,60
SBSV 051100Z 18011KT 9999 VCSH FEW018 FEW025TCU SCT030 25/20 Q1020,SBSV,2025-07-05T11:00:00Z,-12.911,-38.331,25,20,180,11,,6+,30.12,,,,,,,,,,VCSH,FEW,1800,FEW,2500,SCT,3000,,,VFR,,,,,,,,,,,,METAR,9
SBSP 051100Z 06004KT 020V120 CAVOK 13/11 Q1028,SBSP,2025-07-05T11:00:00Z,-23.627,-46.655,13,11,60,4,,6+,30.35,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,802
SBSN 051100Z 02003KT 9999 FEW020 SCT100 26/24 Q1016,SBSN,2025-07-05T11:00:00Z,-2.423,-54.789,26,24,20,3,,6+,30.00,,,,,,,,,,,FEW,2000,SCT,10000,,,,,VFR,,,,,,,,,,,,METAR,57
SBSL 051100Z 04006KT 9999 FEW017 28/24 Q1016,SBSL,2025-07-05T11:00:00Z,-2.585,-44.234,28,24,40,6,,6+,30.00,,,,,,,,,,,FEW,1700,,,,,,,VFR,,,,,,,,,,,,METAR,53
SBSJ 051100Z 33002KT CAVOK 12/11 Q1028,SBSJ,2025-07-05T11:00:00Z,-23.229,-45.861,12,11,330,2,,6+,30.35,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,640
SBSG 051100Z 16005KT 090V220 9999 BKN035 24/21 Q1017,SBSG,2025-07-05T11:00:00Z,-5.768,-35.376,24,21,160,5,,6+,30.03,,,,,,,,,,,BKN,3500,,,,,,,VFR,,,,,,,,,,,,METAR,83
SBRP 051100Z 08003KT CAVOK 13/11 Q1025,SBRP,2025-07-05T11:00:00Z,-21.134,-47.774,13,11,80,3,,6+,30.27,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,550
SBRJ 051100Z 32007KT 9999 FEW007 17/16 Q1026,SBRJ,2025-07-05T11:00:00Z,-22.91,-43.163,17,16,320,7,,6+,30.30,,,,,,,,,,,FEW,700,,,,,,,VFR,,,,,,,,,,,,METAR,6
SBRF 051100Z 22005KT CAVOK 25/21 Q1018,SBRF,2025-07-05T11:00:00Z,-8.126,-34.923,25,21,220,5,,6+,30.06,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,10
SBRB 051100Z 00000KT CAVOK 14/14 Q1019,SBRB,2025-07-05T11:00:00Z,-9.867,-67.897,14,14,0,0,,6+,30.09,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,190
SBPV 051100Z 22001KT CAVOK 20/18 Q1017,SBPV,2025-07-05T11:00:00Z,-8.708,-63.901,20,18,220,1,,6+,30.03,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,89
SBPS 051100Z VRB05KT 9999 SCT025 BKN090 20/19 Q1022,SBPS,2025-07-05T11:00:00Z,-16.439,-39.081,20,19,VRB,5,,6+,30.18,,,,,,,,,,,SCT,2500,BKN,9000,,,,,VFR,,,,,,,,,,,,METAR,44
SBPL 051100Z 19007KT 9999 FEW025 22/18 Q1021,SBPL,2025-07-05T11:00:00Z,-9.367,-40.565,22,18,190,7,,6+,30.15,,,,,,,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,386
SBPK 051100Z 26003KT 9000 NSC 04/04 Q1025,SBPK,2025-07-05T11:00:00Z,-31.717,-52.328,4,4,260,3,,5.59,30.27,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,17
SBPB 051100Z 12008KT 9999 FEW020 SCT100 28/24 Q1016,SBPB,2025-07-05T11:00:00Z,-2.894,-41.731,28,24,120,8,,6+,30.00,,,,,,,,,,,FEW,2000,SCT,10000,,,,,VFR,,,,,,,,,,,,METAR,3
SBPA 051100Z 00000KT 4000 BR FEW005 08/08 Q1025,SBPA,2025-07-05T11:00:00Z,-29.994,-51.171,8,8,0,0,,2.49,30.27,,,,,,,,,,BR,FEW,500,,,,,,,IFR,,,,,,,,,,,,METAR,3
SBOI 051100Z AUTO 24004KT 210V290 9999 FEW004 SCT019 25/24 Q1016,SBOI,2025-07-05T11:00:00Z,3.861,-51.796,25,24,240,4,,6+,30.00,,,TRUE,,,,,,,,FEW,400,SCT,1900,,,,,VFR,,,,,,,,,,,,METAR,15
SBNF 051100Z 26005KT 9999 FEW010 BKN036 14/14 Q1026,SBNF,2025-07-05T11:00:00Z,-26.88,-48.651,14,14,260,5,,6+,30.30,,,,,,,,,,,FEW,1000,BKN,3600,,,,,VFR,,,,,,,,,,,,METAR,5
SBMQ 051100Z 32003KT 9999 FEW025TCU 26/25 Q1016,SBMQ,2025-07-05T11:00:00Z,0.051,-51.072,26,25,320,3,,6+,30.00,,,,,,,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,15
SBMO 051100Z 27005KT 9999 SCT030 23/22 Q1019,SBMO,2025-07-05T11:00:00Z,-9.511,-35.792,23,22,270,5,,6+,30.09,,,,,,,,,,,SCT,3000,,,,,,,VFR,,,,,,,,,,,,METAR,116
SBMN 051100Z 30004KT 9999 FEW020 SCT090 23/21 Q1017,SBMN,2025-07-05T11:00:00Z,-3.146,-59.986,23,21,300,4,,6+,30.03,,,,,,,,,,,FEW,2000,SCT,9000,,,,,VFR,,,,,,,,,,,,METAR,71
SBMA 051100Z 22003KT 9999 FEW015 24/23 Q1016,SBMA,2025-07-05T11:00:00Z,-5.368,-49.137,24,23,220,3,,6+,30.00,,,,,,,,,,,FEW,1500,,,,,,,VFR,,,,,,,,,,,,METAR,110
SBLO 051100Z 04003KT CAVOK 11/11 Q1026,SBLO,2025-07-05T11:00:00Z,-23.334,-51.13,11,11,40,3,,6+,30.30,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,563
SBKP 051100Z 11008KT CAVOK 13/11 Q1026,SBKP,2025-07-05T11:00:00Z,-23.007,-47.135,13,11,110,8,,6+,30.30,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,659
SBJP 051100Z 20006KT CAVOK 24/22 Q1018,SBJP,2025-07-05T11:00:00Z,-7.148,-34.951,24,22,200,6,,6+,30.06,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,66
SBGR 051100Z 06010KT 9999 SCT009 12/10 Q1027,SBGR,2025-07-05T11:00:00Z,-23.432,-46.469,12,10,60,10,,6+,30.32,,,,,,,,,,,SCT,900,,,,,,,VFR,,,,,,,,,,,,METAR,745
SBGO 051100Z 14006KT CAVOK 16/11 Q1024,SBGO,2025-07-05T11:00:00Z,-16.632,-49.221,16,11,140,6,,6+,30.24,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,740
SBGL 051100Z 33004KT 9999 FEW008 17/14 Q1026,SBGL,2025-07-05T11:00:00Z,-22.815,-43.261,17,14,330,4,,6+,30.30,,,,,,,,,,,FEW,800,,,,,,,VFR,,,,,,,,,,,,METAR,3
SBFZ 051100Z 15010KT CAVOK 26/19 Q1016,SBFZ,2025-07-05T11:00:00Z,-3.776,-38.533,26,19,150,10,,6+,30.00,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,32
SBFL 051100Z 36007KT 9999 FEW040 15/13 Q1026,SBFL,2025-07-05T11:00:00Z,-27.671,-48.547,15,13,360,7,,6+,30.30,,,,,,,,,,,FEW,4000,,,,,,,VFR,,,,,,,,,,,,METAR,5
SBFI 051100Z 09007KT CAVOK 12/10 Q1025,SBFI,2025-07-05T11:00:00Z,-25.595,-54.488,12,10,90,7,,6+,30.27,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,233
SBEG 051100Z 29002KT 5000 BR BKN003 22/22 Q1017,SBEG,2025-07-05T11:00:00Z,-3.039,-60.05,22,22,290,2,,3.11,30.03,,,,,,,,,,BR,BKN,300,,,,,,,LIFR,,,,,,,,,,,,METAR,69
SBCY 051100Z 32004KT CAVOK 17/16 Q1020,SBCY,2025-07-05T11:00:00Z,-15.653,-56.116,17,16,320,4,,6+,30.12,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,182
SBCT 051100Z 34003KT 310V030 3000 -DZ BKN003 OVC008 10/10 Q1028,SBCT,2025-07-05T11:00:00Z,-25.529,-49.176,10,10,340,3,,1.86,30.35,,,,,,,,,,-DZ,BKN,300,OVC,800,,,,,LIFR,,,,,,,,,,,,METAR,914
SBCR 051100Z 11008KT CAVOK 21/14 Q1020,SBCR,2025-07-05T11:00:00Z,-19.01,-57.667,21,14,110,8,,6+,30.12,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,142
SBCP 051100Z 30006KT 9999 FEW025 15/14 Q1026,SBCP,2025-07-05T11:00:00Z,-21.701,-41.305,15,14,300,6,,6+,30.30,,,,,,,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,15
SBCG 051100Z 07014KT CAVOK 17/13 Q1023,SBCG,2025-07-05T11:00:00Z,-20.469,-54.672,17,13,70,14,,6+,30.21,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,556
SBCF 051100Z 16006KT CAVOK 12/09 Q1027,SBCF,2025-07-05T11:00:00Z,-19.635,-43.966,12,9,160,6,,6+,30.32,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,825
SBCB 051100Z 27005KT 9999 FEW020 18/16 Q1026,SBCB,2025-07-05T11:00:00Z,-22.922,-42.074,18,16,270,5,,6+,30.30,,,,,,,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,3
SBBV 051100Z 06009KT 5000 RA BKN005 BKN020 FEW030TCU OVC070 21/21 Q1018,SBBV,2025-07-05T11:00:00Z,2.846,-60.69,21,21,60,9,,3.11,30.06,,,,,,,,,,RA,BKN,500,BKN,2000,FEW,3000,OVC,7000,IFR,,,,,,,,,,,,METAR,80
SBBR 051100Z 10004KT CAVOK 15/11 Q1025,SBBR,2025-07-05T11:00:00Z,-15.867,-47.933,15,11,100,4,,6+,30.27,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1051
SBBE 051100Z 13005KT 9999 FEW049 SCT080 26/24 Q1012,SBBE,2025-07-05T11:00:00Z,-1.379,-48.476,26,24,130,5,,6+,29.88,,,,,,,,,,,FEW,4900,SCT,8000,,,,,VFR,,,,,,,,,,,,METAR,16
SBAR 051100Z 23007KT 9999 VCSH FEW017 FEW020TCU SCT040 24/22 Q1019,SBAR,2025-07-05T11:00:00Z,-10.984,-37.07,24,22,230,7,,6+,30.09,,,,,,,,,,VCSH,FEW,1700,FEW,2000,SCT,4000,,,VFR,,,,,,,,,,,,METAR,4
PKWA 051100Z AUTO 00000KT 10SM CLR 26/21 A2989 RMK AO2 T02570211,PKWA,2025-07-05T11:00:00Z,8.72,167.724,25.7,21.1,0,0,,10+,29.89,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,6
OYAT 051100Z VRB02KT 9999 FEW030 39/11 Q1009,OYAT,2025-07-05T11:00:00Z,14.546,46.828,39,11,VRB,2,,6+,29.79,,,,,,,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,1136
OSDI 051100Z 14004KT CAVOK 33/01 Q1010,OSDI,2025-07-05T11:00:00Z,33.411,36.516,33,1,140,4,,6+,29.82,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,614
OSAP 051100Z 27016KT CAVOK 34/06 Q1009,OSAP,2025-07-05T11:00:00Z,36.183,37.218,34,6,270,16,,6+,29.79,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,390
ORSU 051100Z 31006KT CAVOK 35/M01 Q1006,ORSU,2025-07-05T11:00:00Z,35.56,45.318,35,-1,310,6,,6+,29.70,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,760
ORNI 051100Z 33015KT 8000 NSC 40/03 Q1003,ORNI,2025-07-05T11:00:00Z,31.99,44.405,40,3,330,15,,4.97,29.62,,,,,,,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,33
ORMM 051100Z 28025KT 8000 NSC 44/00 Q0998,ORMM,2025-07-05T11:00:00Z,30.549,47.662,44,0,280,25,,4.97,29.47,,,,,,,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,2
ORKK 051100Z 25010KT CAVOK 37/01 Q1002,ORKK,2025-07-05T11:00:00Z,35.469,44.3494,37,1,250,10,,6+,29.59,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,331
ORER 051100Z 26010KT 210V310 8000 NSC 36/M02 Q1005,ORER,2025-07-05T11:00:00Z,36.232,43.951,36,-2,260,10,,4.97,29.68,,,,,,,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,399
ORBI 051100Z 31014KT CAVOK 38/05 Q1002 NOSIG,ORBI,2025-07-05T11:00:00Z,33.263,44.235,38,5,310,14,,6+,29.59,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,37
OPST 051100Z 13006KT 4000 FU FEW040 SCT100 35/26 Q0996 NOSIG RH60,OPST,2025-07-05T11:00:00Z,32.536,74.364,35,26,130,6,,2.49,29.41,,,,,,TRUE,,,,FU,FEW,4000,SCT,10000,,,,,IFR,,,,,,,,,,,,METAR,234
OPLA 051100Z 10004KT 4000 FU FEW040 SCT100 36/28 Q0995 NOSIG RMK QFE969 A29.39,OPLA,2025-07-05T11:00:00Z,31.522,74.404,36,28,100,4,,2.49,29.38,,,,,,TRUE,,,,FU,FEW,4000,SCT,10000,,,,,IFR,,,,,,,,,,,,METAR,217
OPKC 051100Z 22012KT 5000 HZ SCT020 BKN030 33/25 Q0997 NOSIG,OPKC,2025-07-05T11:00:00Z,24.902,67.139,33,25,220,12,,3.11,29.44,,,,,,TRUE,,,,HZ,SCT,2000,BKN,3000,,,,,MVFR,,,,,,,,,,,,METAR,20
OJAQ 051100Z 36014KT CAVOK 38/02 Q1008 NOSIG,OJAQ,2025-07-05T11:00:00Z,29.612,35.018,38,2,360,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,45
OJAI 051100Z 28014KT 5000 HZ NSC 29/09 Q1013 NOSIG,OJAI,2025-07-05T11:00:00Z,31.723,35.993,29,9,280,14,,3.11,29.91,,,,,,TRUE,,,,HZ,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,723
NGFU 051100Z 13005KT 9999 FEW018TCU BKN110 28/26 Q1011,NGFU,2025-07-05T11:00:00Z,-8.523,179.198,28,26,130,5,,6+,29.85,,,,,,,,,,,FEW,1800,BKN,11000,,,,,VFR,,,,,,,,,,,,METAR,2
NFTF 051100Z 08003KT 9999 FEW015 19/19 Q1017 RMK GRASS DEW,NFTF,2025-07-05T11:00:00Z,-21.241,-175.15,19,19,80,3,,6+,30.03,,,,,,,,,,,FEW,1500,,,,,,,VFR,,,,,,,,,,,,METAR,38
NFNA 051100Z 00000KT 9999 SCT022 BKN048 23/23 Q1016,NFNA,2025-07-05T11:00:00Z,-18.043,178.559,23,23,0,0,,6+,30.00,,,,,,,,,,,SCT,2200,BKN,4800,,,,,VFR,,,,,,,,,,,,METAR,6
NFFN 051100Z 10004KT 9999 FEW030 24/20 Q1016 NOSIG,NFFN,2025-07-05T11:00:00Z,-17.755,177.443,24,20,100,4,,6+,30.00,,,,,,TRUE,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,14
MWCR 051100Z VRB02KT 9999 FEW018 27/24 Q1015,MWCR,2025-07-05T11:00:00Z,19.294,-81.357,27,24,VRB,2,,6+,29.97,,,,,,,,,,,FEW,1800,,,,,,,VFR,,,,,,,,,,,,METAR,4
MTPP 051100Z 11010KT 8000 FEW016 SCT200 26/23 Q1016 A3002,MTPP,2025-07-05T11:00:00Z,18.577,-72.305,26,23,110,10,,4.97,30.00,,,,,,,,,,,FEW,1600,SCT,20000,,,,,MVFR,,,,,,,,,,,,METAR,36
MSLP 051100Z 10003KT 070V140 9999 -RA FEW015 FEW037CB BKN070 23/23 Q1013 A2991 NOSIG RMK CB S SW W,MSLP,2025-07-05T11:00:00Z,13.438,-89.056,23,23,100,3,,6+,29.91,,,,,,TRUE,,,,-RA,FEW,1500,FEW,3700,BKN,7000,,,VFR,,,,,,,,,,,,METAR,25
MROC 051100Z 05008KT CAVOK 20/17 A3001 NOSIG,MROC,2025-07-05T11:00:00Z,9.991,-84.218,20,17,50,8,,6+,30.01,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,900
MPTO 051100Z 01003KT 9999 FEW018 22/22 Q1012 NOSIG,MPTO,2025-07-05T11:00:00Z,9.056,-79.391,22,22,10,3,,6+,29.88,,,,,,TRUE,,,,,FEW,1800,,,,,,,VFR,,,,,,,,,,,,METAR,7
MPPA 051100Z 00000KT 6000 FEW015 24/24 Q1011,MPPA,2025-07-05T11:00:00Z,8.909,-79.597,24,24,0,0,,3.73,29.85,,,,,,,,,,,FEW,1500,,,,,,,MVFR,,,,,,,,,,,,METAR,1
MPMG 051100Z VRB01KT 9000 FEW018 24/23 Q1012 NOSIG,MPMG,2025-07-05T11:00:00Z,8.967,-79.555,24,23,VRB,1,,5.59,29.88,,,,,,TRUE,,,,,FEW,1800,,,,,,,VFR,,,,,,,,,,,,METAR,6
